State,State Abbreviation,FEMA region,Population,Population as a percent of national population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Total cases,Total deaths,Viral (RT-PCR) lab test positivity rate - last 7 days ,Total RT-PCR diagnostic tests - last 7 days ,RT-PCR tests per 100k - last 7 days ,Viral (RT-PCR) lab test positivity rate - absolute change ,Total RT-PCR diagnostic tests -  change ,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days, inpatient beds occupied by COVID-19 patient, ventilators in use by COVID-19 patient, inpatient beds occupied by COVID-19 patient - absolute change, ventilators in use by COVID-19 patient - absolute change
Alabama,AL,Region 4,4903185.00,1.48,1.61,26908.00,549.00,210.00,4.30,1.68,24576.00,501.00,255.00,5.20,315683.00,4296.00,18.70,68700.00,1401.00,1.70,-37.00,2127.00,15.00,17.00,19.00,2.00,2.00
Alaska,AK,Region 10,731545.00,0.22,0.20,3321.00,454.00,25.00,3.40,0.31,4543.00,621.00,16.00,2.20,41905.00,182.00,6.60,50655.00,6924.00,-1.30,-23.00,93.00,7.00,9.00,4.00,-2.00,-1.00
Arizona,AZ,Region 9,7278717.00,2.19,2.88,48159.00,662.00,574.00,7.90,2.90,42411.00,583.00,360.00,4.90,442671.00,7819.00,17.90,232629.00,3196.00,1.10,-11.00,3317.00,23.00,27.00,24.00,3.00,4.00
Arkansas,AR,Region 6,3017804.00,0.91,0.94,15797.00,523.00,258.00,8.50,0.99,14487.00,480.00,289.00,9.60,197421.00,3133.00,12.00,74650.00,2474.00,0.40,-4.00,1073.00,14.00,15.00,13.00,1.00,0.00
California,CA,Region 9,39512223.00,11.91,16.66,278671.00,705.00,1538.00,3.90,13.61,199146.00,504.00,1040.00,2.60,1764374.00,22160.00,13.30,1336103.00,3381.00,3.10,-24.00,14464.00,23.00,25.00,15.00,6.00,4.00
Colorado,CO,Region 8,5758736.00,1.74,1.34,22434.00,390.00,413.00,7.20,2.01,29451.00,511.00,508.00,8.80,304107.00,4259.00,8.60,271236.00,4710.00,-2.50,-3.00,1437.00,14.00,16.00,15.00,-1.00,0.00
Connecticut,CT,Region 1,3565287.00,1.07,0.96,16021.00,449.00,218.00,6.10,1.30,19046.00,534.00,217.00,6.10,162782.00,5581.00,10.70,59883.00,1680.00,-1.00,-33.00,914.00,11.00,17.00,12.00,0.00,2.00
Delaware,DE,Region 3,973764.00,0.29,0.25,4233.00,435.00,39.00,4.00,0.44,6478.00,665.00,33.00,3.40,49109.00,854.00,9.50,61231.00,6288.00,-0.10,-8.00,357.00,14.00,17.00,7.00,1.00,2.00
District of Columbia,DC,Region 3,705749.00,0.21,0.10,1747.00,248.00,19.00,2.70,0.13,1877.00,266.00,16.00,2.30,26104.00,728.00,4.40,55282.00,7833.00,-0.30,-5.00,206.00,7.00,10.00,4.00,2.00,0.00
Florida,FL,Region 4,21477737.00,6.47,4.42,73997.00,345.00,687.00,3.20,4.48,65602.00,305.00,720.00,3.40,1161953.00,20401.00,10.30,686561.00,3197.00,0.40,1.00,5568.00,11.00,11.00,6.00,1.00,0.00
Georgia,GA,Region 4,10617423.00,3.20,2.69,44944.00,423.00,301.00,2.80,2.54,37239.00,351.00,306.00,2.90,576537.00,10332.00,13.70,183024.00,1724.00,1.20,-17.00,3322.00,18.00,18.00,10.00,3.00,1.00
Hawaii,HI,Region 9,1415872.00,0.43,0.05,874.00,62.00,12.00,0.80,0.04,607.00,43.00,13.00,0.90,19539.00,279.00,3.00,29577.00,2089.00,1.10,-18.00,41.00,2.00,3.00,2.00,1.00,-1.00
Idaho,ID,Region 10,1787065.00,0.54,0.51,8608.00,482.00,124.00,6.90,0.77,11244.00,629.00,119.00,6.70,128218.00,1275.00,18.10,44949.00,2515.00,-4.70,-9.00,391.00,12.00,14.00,8.00,0.00,1.00
Illinois,IL,Region 5,12671821.00,3.82,3.22,53854.00,425.00,1139.00,9.00,4.30,62863.00,496.00,1285.00,10.10,886805.00,16206.00,10.80,456502.00,3602.00,-1.20,-7.00,3513.00,12.00,17.00,10.00,-1.00,-1.00
Indiana,IN,Region 5,6732219.00,2.03,2.45,41004.00,609.00,592.00,8.80,3.06,44806.00,666.00,551.00,8.20,453139.00,7265.00,16.50,241634.00,3589.00,-0.10,-19.00,2592.00,16.00,19.00,11.00,0.00,-1.00
Iowa,IA,Region 7,3155070.00,0.95,0.67,11157.00,354.00,254.00,8.10,0.91,13280.00,421.00,592.00,18.80,264758.00,3451.00,12.40,65092.00,2063.00,-1.60,-25.00,626.00,8.00,10.00,6.00,-2.00,-2.00
Kansas,KS,Region 7,2913314.00,0.88,0.90,15132.00,519.00,269.00,9.20,1.16,16999.00,583.00,286.00,9.80,200426.00,2341.00,15.20,78991.00,2711.00,-1.50,1.00,1100.00,14.00,14.00,12.00,-1.00,-1.00
Kentucky,KY,Region 4,4467673.00,1.35,1.20,20070.00,449.00,176.00,3.90,1.57,22927.00,513.00,129.00,2.90,237190.00,2344.00,12.60,133367.00,2985.00,-2.20,-10.00,2952.00,24.00,14.00,12.00,0.00,1.00
Louisiana,LA,Region 6,4648794.00,1.40,1.09,18243.00,392.00,227.00,4.90,1.16,17014.00,366.00,219.00,4.70,282434.00,6994.00,10.30,120661.00,2596.00,0.70,-27.00,1237.00,9.00,10.00,4.00,0.00,0.00
Maine,ME,Region 1,1344212.00,0.41,0.19,3123.00,232.00,35.00,2.60,0.17,2492.00,185.00,30.00,2.20,18742.00,292.00,4.50,40393.00,3005.00,-0.60,-3.00,130.00,4.00,8.00,3.00,1.00,0.00
Maryland,MD,Region 3,6045680.00,1.82,1.00,16745.00,277.00,312.00,5.20,1.34,19625.00,325.00,280.00,4.60,248754.00,5412.00,8.90,263232.00,4354.00,-0.70,-20.00,1529.00,16.00,21.00,9.00,0.00,1.00
Massachusetts,MA,Region 1,6892503.00,2.08,1.97,33004.00,479.00,348.00,5.00,2.22,32473.00,471.00,336.00,4.90,312829.00,11566.00,6.50,594699.00,8628.00,0.40,-1.00,1585.00,10.00,11.00,8.00,2.00,1.00
Michigan,MI,Region 5,9986857.00,3.01,1.89,31529.00,316.00,903.00,9.00,2.74,40078.00,401.00,848.00,8.50,491875.00,11868.00,10.20,347222.00,3477.00,-2.40,-11.00,2671.00,13.00,17.00,11.00,-2.00,-1.00
Minnesota,MN,Region 5,5639632.00,1.70,1.25,20921.00,371.00,431.00,7.60,2.19,31995.00,567.00,447.00,7.90,391889.00,4782.00,8.70,309220.00,5483.00,-2.60,-22.00,1007.00,10.00,15.00,10.00,-3.00,-2.00
Mississippi,MS,Region 4,2976149.00,0.90,0.85,14164.00,476.00,210.00,7.10,0.99,14489.00,487.00,231.00,7.80,192111.00,4390.00,14.80,30497.00,1025.00,-1.00,-16.00,998.00,12.00,16.00,19.00,1.00,2.00
Missouri,MO,Region 7,6137428.00,1.85,1.30,21726.00,354.00,372.00,6.10,1.72,25183.00,410.00,359.00,5.80,360330.00,4853.00,16.10,69970.00,1140.00,-1.30,-20.00,2011.00,13.00,17.00,12.00,-1.00,0.00
Montana,MT,Region 8,1068778.00,0.32,0.25,4122.00,386.00,49.00,4.60,0.37,5434.00,508.00,78.00,7.30,75992.00,854.00,10.00,18086.00,1692.00,-6.70,-43.00,370.00,13.00,11.00,7.00,-2.00,-1.00
